Name,Date,GUID
Seattle Summer Music Games,2022-07-09T00:00:00,312068dc-6c15-48aa-bef3-968b05df7633
Tour of Champions - Northern Illinois,2022-07-09T00:00:00,3ad2868d-8d2b-409b-a758-c817219a4b13
DCI Capital Classic,2022-07-08T00:00:00,4add9c20-88de-4de2-8890-55a68dada759
Drums of Fire,2022-07-08T00:00:00,3bb641a3-4df0-4daf-8560-7183af29b868
Music on the March,2022-07-08T00:00:00,f2f46a7c-0078-49ae-af95-0007531e6b9c
Drums on the Ohio,2022-07-07T00:00:00,71976ecd-58d4-4a26-87ab-a8ea82e62835
Celebration in Brass,2022-07-06T00:00:00,745ca501-8dc1-49f6-a3c0-bc67199f49e0
DCI Dover,2022-07-06T00:00:00,74f6c7e2-6709-4ceb-bcdd-c838b2f5b96e
Summer Music Games in Cincinnati,2022-07-06T00:00:00,99ca16b3-c9fd-447c-a690-a0eb25b063ea
MidCal Champions Showcase,2022-07-05T00:00:00,fb087f96-6862-4ec7-8063-c5029018c3ca
Cavalcade of Brass,2022-07-03T00:00:00,23f70236-e647-4f0e-9d90-019085f53e2a
Rotary Music Festival,2022-07-03T00:00:00,8c7db84e-161f-4911-994c-fbe323cfe428
The Beanpot,2022-07-03T00:00:00,a6c71722-1996-4c33-abde-2792c6174df9
Drums Across the Desert,2022-07-02T00:00:00,85ada5ab-face-4882-acf3-9717432fc535
Drums on Parade,2022-07-02T00:00:00,26666093-fea7-49ca-82c1-22fac1dc7c1d
East Coast Classic,2022-07-02T00:00:00,a2fd6b4b-d263-45f4-baf3-a29efe98c55c
Innovations in Brass: Northeast Ohio,2022-07-02T00:00:00,3aa1f597-e653-4dd0-9132-58d152ead305
DCI Central Indiana,2022-07-01T00:00:00,01bfb522-036e-4d39-b4a5-bdaa7b667c44
DCI Tour Premiere,2022-06-28T00:00:00,74f09de3-01fb-4c96-aab4-49b041342241
Western Corps Connection,2022-06-26T00:00:00,f0a272fa-c96f-4b08-b8ed-36d20aec37d3
Drum Corps at the Rose Bowl,2022-06-25T00:00:00,31c7fe25-7b8b-4f84-b8b6-cf44217efc90
Corps at the Crest - San Diego,2022-06-24T00:00:00,29e8fa09-2ee2-4286-b199-c8f9381af478
